Taxa
Nothocercus bonapartei
Tinamus major
Crypturellus soui
Crypturellus cinnamomeus
Crypturellus boucardi
Dendrocygna viduata
Dendrocygna autumnalis
Dendrocygna bicolor
Anser albifrons
Sarkidiornis sylvicola 
Cairina moschata
Spatula discors
Spatula cyanoptera
Spatula clypeata
Mareca americana
Anas platyrhynchos
Anas bahamensis
Anas acuta
Anas crecca
Aythya valisineria
Aythya americana
Aythya collaris
Aythya marila
Aythya affinis
Lophodytes cucullatus
Mergus serrator 
Nomonyx dominicus
Oxyura jamaicensis
Ortalis vetula
Ortalis cinereiceps
Penelope purpurascens
Chamaepetes unicolor
Crax rubra
Rhynchortyx cinctus
Dendrortyx leucophrys
Colinus leucopogon
Colinus cristatus
Odontophorus gujanensis
Odontophorus melanotis
Odontophorus leucolaemus
Odontophorus guttatus
Tachybaptus dominicus
Podilymbus podiceps
Podiceps nigricollis
Columba livia
Patagioenas cayennensis
Patagioenas speciosa
Patagioenas leucocephala
Patagioenas flavirostris
Patagioenas fasciata
Patagioenas subvinacea
Patagioenas nigrirostris
Streptopelia decaocto
Columbina inca
Columbina passerina
Columbina minuta
Columbina talpacoti
Claravis pretiosa
Paraclaravis mondetoura
Geotrygon montana
Geotrygon violacea
Leptotrygon veraguensis
Leptotila verreauxi
Leptotila cassinii
Leptotila plumbeiceps
Zentrygon costaricensis
Zentrygon lawrencii
Zentrygon chiriquensis
Zenaida asiatica
Zenaida auriculata
Zenaida macroura
Crotophaga major
Crotophaga ani
Crotophaga sulcirostris
Tapera naevia
Dromococcyx phasianellus
Morococcyx erythropygus 
Neomorphus geoffroyi 
Piaya cayana
Coccyzus americanus
Coccyzus minor
Coccyzus ferrugineus
Coccyzus erythropthalmus
Lurocalis semitorquatus
Chordeiles acutipennis
Chordeiles minor
Nyctidromus albicollis
Nyctiphrynus ocellatus
Antrostomus carolinensis
Antrostomus rufus
Antrostomus vociferus
Antrostomus saturatus
Hydropsalis cayennensis
Steatornis caripensis
Nyctibius grandis
Nyctibius griseus
Nyctibius jamaicensis
Cypseloides niger
Cypseloides cryptus
Cypseloides cherriei
Streptoprocne rutila
Streptoprocne zonaris
Chaetura pelagica
Chaetura vauxi
Chaetura fumosa
Chaetura cinereiventris
Panyptila cayennensis
Panyptila sanctihieronymi
Florisuga mellivora
Eutoxeres aquila
Glaucis aeneus
Threnetes ruckeri
Phaethornis guy
Phaethornis longirostris
Phaethornis striigularis
Doryfera ludovicae
Colibri delphinae
Colibri cyanotus 
Heliothryx barroti
Anthracothorax prevostii
Anthracothorax veraguensis
Discosura conversii
Lophornis delattrei
Lophornis helenae
Lophornis adorabilis
Heliodoxa jacula
Eugenes spectabilis
Panterpe insignis
Heliomaster longirostris
Heliomaster constantii
Lampornis hemileucus
Lampornis calolaemus
Lampornis castaneoventris
Calliphlox bryantae
Archilochus colubris
Selasphorus flammula
Selasphorus scintilla
Cynanthus canivetii
Chlorostilbon assimilis
Klais guimeti
Campylopterus hemileucurus
Chalybura urochrysia
Thalurania colombica
Microchera albocoronata
Microchera cupreiceps
Microchera chionura
Eupherusa eximia
Eupherusa nigriventris
Phaeochroa cuvierii
Saucerottia hoffmanni
Saucerottia cyanura
Saucerottia edward
Amazilia rutila
Amazilia tzacatl
Amazilia boucardi
Chrysuronia coeruleogularis
Polyerata amabilis
