usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index
2477473,"Nothocercus bonapartei (G.R.Gray, 1867)",Nothocercus bonapartei,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Tinamiformes,Tinamidae,Nothocercus,Nothocercus bonapartei,1,44,212,726,9353,2477468,2477473,FALSE,Aves,NA,Nothocercus bonapartei,1
2477630,"Tinamus major (J.F.Gmelin, 1789)",Tinamus major,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Tinamiformes,Tinamidae,Tinamus,Tinamus major,1,44,212,726,9353,2477617,2477630,FALSE,Aves,NA,Tinamus major,2
2477507,"Crypturellus soui (Hermann, 1783)",Crypturellus soui,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Tinamiformes,Tinamidae,Crypturellus,Crypturellus soui,1,44,212,726,9353,2477492,2477507,FALSE,Aves,NA,Crypturellus soui,3
2477493,"Crypturellus cinnamomeus (Lesson, 1842)",Crypturellus cinnamomeus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Tinamiformes,Tinamidae,Crypturellus,Crypturellus cinnamomeus,1,44,212,726,9353,2477492,2477493,FALSE,Aves,NA,Crypturellus cinnamomeus,4
2477567,"Crypturellus boucardi (P.L.Sclater, 1860)",Crypturellus boucardi,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Tinamiformes,Tinamidae,Crypturellus,Crypturellus boucardi,1,44,212,726,9353,2477492,2477567,FALSE,Aves,NA,Crypturellus boucardi,5
2498396,"Dendrocygna viduata (Linnaeus, 1766)",Dendrocygna viduata,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Anseriformes,Anatidae,Dendrocygna,Dendrocygna viduata,1,44,212,1108,2986,2498392,2498396,FALSE,Aves,NA,Dendrocygna viduata,6
2498393,"Dendrocygna autumnalis (Linnaeus, 1758)",Dendrocygna autumnalis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Anseriformes,Anatidae,Dendrocygna,Dendrocygna autumnalis,1,44,212,1108,2986,2498392,2498393,FALSE,Aves,NA,Dendrocygna autumnalis,7
2498402,"Dendrocygna bicolor (Vieillot, 1816)",Dendrocygna bicolor,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Anseriformes,Anatidae,Dendrocygna,Dendrocygna bicolor,1,44,212,1108,2986,2498392,2498402,FALSE,Aves,NA,Dendrocygna bicolor,8
2498017,"Anser albifrons (Scopoli, 1769)",Anser albifrons,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Anseriformes,Anatidae,Anser,Anser albifrons,1,44,212,1108,2986,2498016,2498017,FALSE,Aves,NA,Anser albifrons,9
2498003,"Sarkidiornis sylvicola H.Ihering & R.Ihering, 1907",Sarkidiornis sylvicola,SPECIES,SYNONYM,98,EXACT,Animalia,Chordata,Anseriformes,Anatidae,Sarkidiornis,Sarkidiornis melanotos,1,44,212,1108,2986,2498000,2498001,TRUE,Aves,6178419,Sarkidiornis sylvicola,10
9751099,"Cairina moschata (Linnaeus, 1758)",Cairina moschata,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Anseriformes,Anatidae,Cairina,Cairina moschata,1,44,212,1108,2986,2498282,9751099,FALSE,Aves,NA,Cairina moschata,11
9422220,"Spatula discors (Linnaeus, 1766)",Spatula discors,SPECIES,SYNONYM,98,EXACT,Animalia,Chordata,Anseriformes,Anatidae,Anas,Anas discors,1,44,212,1108,2986,2498056,2498073,TRUE,Aves,2498073,Spatula discors,12
